จำนวนการเกิด จากการทะเบียน จำแนกตามเพศ ภาค และจังหวัด พ.ศ. 2555 - 2565,,,,,,,,,,,,,
หน่วย : คน,,,,,,,,,,,,,
,ฉะเชิงเทรา,รวม,"8,953","8,296","8,576","7,997","7,618","7,452","7,239","6,711","6,734","6,315","5,830"
,,ชาย,"4,630","4,383","4,365","4,064","3,930","3,797","3,769","3,409","3,476","3,258","2,968"
,,หญิง,"4,323","3,913","4,211","3,933","3,688","3,655","3,470","3,302","3,258","3,057","2,862"
,ปราจีนบุรี,รวม,"6,075","5,878","5,906","5,565","5,489","5,597","5,354","5,200","5,256","4,901","4,788"
,,ชาย,"3,201","3,033","3,061","2,851","2,847","2,871","2,691","2,650","2,737","2,547","2,457"
,,หญิง,"2,874","2,845","2,845","2,714","2,642","2,726","2,663","2,550","2,519","2,354","2,331"
,นครนายก,รวม,"3,753","3,684","3,822","3,677","3,485","3,631","3,483","3,253","3,148","2,793","2,438"
,,ชาย,"1,908","1,952","1,970","1,928","1,864","1,858","1,821","1,714","1,611","1,453","1,281"
,,หญิง,"1,845","1,732","1,852","1,749","1,621","1,773","1,662","1,539","1,537","1,340","1,157"
,สระแก้ว,รวม,"6,137","5,785","5,747","5,470","5,287","5,521","5,291","5,140","4,973","4,855","4,369"
,,ชาย,"3,131","2,929","2,960","2,772","2,764","2,856","2,727","2,697","2,522","2,520","2,252"
,,หญิง,"3,006","2,856","2,787","2,698","2,523","2,665","2,564","2,443","2,451","2,335","2,117"
,ราชบุรี,รวม,"10,958","10,490","10,756","10,072","9,739","9,699","8,933","8,077","7,465","7,208","6,532"
,,ชาย,"5,728","5,451","5,446","5,154","5,060","5,136","4,710","4,188","3,890","3,716","3,370"
,,หญิง,"5,230","5,039","5,310","4,918","4,679","4,563","4,223","3,889","3,575","3,492","3,162"
,กาญจนบุรี,รวม,"9,769","9,476","9,465","8,813","8,273","8,547","7,886","7,407","7,129","6,895","6,264"
,,ชาย,"5,002","4,898","4,870","4,618","4,217","4,383","4,044","3,811","3,686","3,518","3,188"
,,หญิง,"4,767","4,578","4,595","4,195","4,056","4,164","3,842","3,596","3,443","3,377","3,076"
